prefixo,pluvio_jan,pluvio_fev,pluvio_mar,value_jan,value_fev,value_mar ,geolocation,latitude,long 
1000370,"362,4","366,6",241,"1311,523","2833,729","2042,26","-23.693635, -46.583919",-23.693.635,-46.583.919
1000380,"361,4","447,8","291,6","1140,408","1998,051","2133,364","-23.699826, -46.588495",-23.699.826,-46.588.495
1000400,"291,6","378,8",267,"947,842","1933,85","1810,38","-23.684166, -46.546693",-23.684.166,-46.546.693
1000410,262,"381,6","257,6","1852,159","1125,18","5472,208","-23.717416, -46.602312",-23.717.416,-46.602.312
1000430,"171,8","359,6","318,4","4173,666","934,797","3119,089","-23.657762, -46.586847",-23.657.762,-46.586.847
1000490,"140,6",138,0,"1074,149","241,453",0,"-23.662847, -46.468214",-23.662.847,-46.468.214
1000500,"167,8","417,6","206,6","2947,102","687,226","2636,083","-23.597551, -46.541079",-23.597.551,-46.541.079
1000510,"171,25","381,25","239,5","1640,776","1046,696","3513,631","-23.650634, -46.440583",-23.650.634,-46.440.583
1000817,"155,6","314,8","156,6","1062,512","1521,906","1337,92","-23.59827, -46.54451251029969",-2.359.827,-4.654.451.251.029.960
1000868,"245,6",425,254,"2658,145","3068,642","1894,363","-23.58724, -46.633968",-2.358.724,-46.633.968
1000938,"235,5",543,312,"1902,741","1349,956","564,786","-23.650069, -46.644951",-23.650.069,-46.644.951
1000958,188,366,174,"4043,093","256,038","2717,517","-23.596712, -46.584471",-23.596.712,-46.584.471
143,"159,8","402,4","286,2","1766,56","347,933","2042,3","-23.611091, -46.547186",-23.611.091,-46.547.186
157,"179,2",410,"252,8","4320,951","407,53","754,879","-23.55217, -46.625925",-2.355.217,-46.625.925
279,247,"300,8",311,"4846,082","2057,235","2482,261","-23.716175, -46.601744",-23.716.175,-46.601.744
280,169,"404,6",300,"1896,741","432,858","1241,154","-23.61219, -46.530731",-2.361.219,-46.530.731
283,"239,4","450,6",236,"2506,412","231,045","651,375","-23.581741, -46.594473",-23.581.741,-46.594.473
413,276,"400,4","272,4","2480,233","1082,666","3640,286","-23.542365, -46.629651",-23.542.365,-46.629.651
511,"282,2",413,291,"2228,612","2144,321","1335,114","-23.654952, -46.567779",-23.654.952,-46.567.779
514,343,"434,6",302,"1113,534","2000,164","2181,37","-23.723985, -46.579497",-23.723.985,-46.579.497
528,"243,8","519,8","299,8","2963,066","1760,367","800,98","-23.647774, -46.653641",-23.647.774,-46.653.641
563,268,"421,4","273,2","1111,013","1454,274","3097,81","-23.620052, -46.627624",-23.620.052,-46.627.624
629,242,"418,4","214,8","4261,881","500,644","1664,19","-23.595779, -46.601021",-23.595.779,-46.601.021
1000350,"202,4","97,8","71,6","1989,832","698,853","1344,102","-23.686132, -46.580069",-23.686.132,-46.580.069
1000550,"202,4","91,8","63,6","1989,832","259,935","1324,337","-23.664317, -46.587103",-23.664.317,-46.587.103